,Name,ID,Position,Salary,Status,TeamAbbrev,Time,projections,std,min_exp,max_exp
0,LeBron James,15432432,PG/SF,17400,Recent,LAL,2020-09-19T01:00:00.0000000Z,101.41827777834219,29.753877448153514,0,0.4
1,Nikola Jokic,15432433,C,16500,Recent,DEN,2020-09-19T01:00:00.0000000Z,84.76809837664001,40.81162892950444,0,0.4
2,Anthony Davis,15432434,PF/C,16200,Breaking,LAL,2020-09-19T01:00:00.0000000Z,67.53626405820143,32.078738445847804,0,0.4
3,Jamal Murray,15432435,PG/SG,15000,Recent,DEN,2020-09-19T01:00:00.0000000Z,59.4825234384681,33.6487434393162,0,0.4
4,Will Barton,15432436,PG,13800,None,DEN,2020-09-19T01:00:00.0000000Z,77.24366900033581,36.438244315152616,0,0.4
5,Michael Porter Jr.,15432437,SF/PF,12600,Breaking,DEN,2020-09-19T01:00:00.0000000Z,77.02253579890275,12.909209298980754,0,0.4
6,LeBron James,15432397,PG/SF,11600,Recent,LAL,2020-09-19T01:00:00.0000000Z,66.61476690899667,20.130330100460917,0,0.4
7,Gary Harris,15432438,SG,11400,Recent,DEN,2020-09-19T01:00:00.0000000Z,43.53632073585256,19.819894209019154,0,0.4
8,Nikola Jokic,15432398,C,11000,Recent,DEN,2020-09-19T01:00:00.0000000Z,53.17126966467372,28.86157213277434,0,0.4
9,Anthony Davis,15432399,PF/C,10800,Breaking,LAL,2020-09-19T01:00:00.0000000Z,33.72211860123488,26.240350936309326,0,0.4
10,Kyle Kuzma,15432439,SF/PF,10500,None,LAL,2020-09-19T01:00:00.0000000Z,44.72464121033472,24.737131476567377,0,0.4
11,Jamal Murray,15432400,PG/SG,10000,Recent,DEN,2020-09-19T01:00:00.0000000Z,56.128846903254875,17.77581909140396,0,0.4
12,Jerami Grant,15432440,SF/PF,9600,None,DEN,2020-09-19T01:00:00.0000000Z,55.164417308593535,24.766209691866518,0,0.4
13,Will Barton,15432401,PG,9200,None,DEN,2020-09-19T01:00:00.0000000Z,51.84789243098421,22.744973872948588,0,0.4
14,Paul Millsap,15432441,PF/C,8700,Breaking,DEN,2020-09-19T01:00:00.0000000Z,33.20128027575516,17.423584794832372,0,0.4
15,Michael Porter Jr.,15432402,SF/PF,8400,Breaking,DEN,2020-09-19T01:00:00.0000000Z,52.65781323810205,11.8813527444646,0,0.4
16,Rajon Rondo,15432442,PG,8100,Recent,LAL,2020-09-19T01:00:00.0000000Z,44.586732278540616,17.612179177428008,0,0.4
