,Name,ID,Position,Salary,Status,TeamAbbrev,Time,projections,std,min_exp,max_exp
0,Jayson Tatum,15491687,SF/PF,15900,Recent,BOS,2020-09-26T00:30:00.0000000Z,54.83536026064125,49.390935614875715,0,0.4
1,Bam Adebayo,15491688,C,14700,Recent,MIA,2020-09-26T00:30:00.0000000Z,71.48209163706608,27.30364043186185,0,0.4
2,Jimmy Butler,15491689,SG/SF,14100,Recent,MIA,2020-09-26T00:30:00.0000000Z,69.11488368386263,23.410263639485617,0,0.4
3,Jaylen Brown,15491690,SG/SF,13800,Recent,BOS,2020-09-26T00:30:00.0000000Z,39.23654259791326,11.65605698619061,0,0.4
4,Kemba Walker,15491691,PG,13200,Recent,BOS,2020-09-26T00:30:00.0000000Z,41.454119115769196,26.484524473913286,0,0.4
5,Goran Dragic,15491692,PG,12300,Breaking,MIA,2020-09-26T00:30:00.0000000Z,50.66348044486205,19.697747118360713,0,0.4
6,Tyler Herro,15491693,SG,11700,Recent,MIA,2020-09-26T00:30:00.0000000Z,51.72616527562728,21.391157103647032,0,0.4
7,Marcus Smart,15491694,PG/SG,10800,Breaking,BOS,2020-09-26T00:30:00.0000000Z,67.34642933078106,24.697868016412837,0,0.4
8,Jayson Tatum,15491653,SF/PF,10600,Recent,BOS,2020-09-26T00:30:00.0000000Z,58.55408108234385,18.880692967776625,0,0.4
9,Bam Adebayo,15491654,C,9800,Recent,MIA,2020-09-26T00:30:00.0000000Z,44.209412774793144,22.070298278557953,0,0.4
10,Gordon Hayward,15491695,SF/PF,9600,Breaking,BOS,2020-09-26T00:30:00.0000000Z,39.94363397259602,17.051605754487397,0,0.4
11,Jimmy Butler,15491655,SG/SF,9400,Recent,MIA,2020-09-26T00:30:00.0000000Z,30.1160482193371,17.46247909688968,0,0.4
12,Jaylen Brown,15491656,SG/SF,9200,Recent,BOS,2020-09-26T00:30:00.0000000Z,37.10133161322776,18.739233389643722,0,0.4
13,Kemba Walker,15491657,PG,8800,Recent,BOS,2020-09-26T00:30:00.0000000Z,31.612905404451013,18.738178826095634,0,0.4
14,Jae Crowder,15491696,PF,8400,None,MIA,2020-09-26T00:30:00.0000000Z,27.934478836306553,21.504963335231505,0,0.4
15,Goran Dragic,15491658,PG,8200,Breaking,MIA,2020-09-26T00:30:00.0000000Z,29.26932017031283,21.683466526393318,0,0.4
16,Tyler Herro,15491659,SG,7800,Recent,MIA,2020-09-26T00:30:00.0000000Z,52.383773065862236,15.691206391840684,0,0.4
17,Daniel Theis,15491697,C,7500,Breaking,BOS,2020-09-26T00:30:00.0000000Z,52.09480094966213,8.677329955344165,0,0.4
18,Marcus Smart,15491660,PG/SG,7200,Breaking,BOS,2020-09-26T00:30:00.0000000Z,43.33391324906662,9.623901652577368,0,0.4
19,Duncan Robinson,15491698,SG/SF,7200,Breaking,MIA,2020-09-26T00:30:00.0000000Z,34.41370628661516,16.23841161802466,0,0.4
20,Gordon Hayward,15491661,SF/PF,6400,Breaking,BOS,2020-09-26T00:30:00.0000000Z,34.628474506057174,2.6083044345480375,0,0.4
21,Grant Williams,15491699,SF/PF,6000,None,BOS,2020-09-26T00:30:00.0000000Z,32.61708364497168,10.988999419099494,0,0.4
22,Jae Crowder,15491662,PF,5600,None,MIA,2020-09-26T00:30:00.0000000Z,33.80084292187795,10.723204110998333,0,0.4
23,Kelly Olynyk,15491700,PF/C,5400,None,MIA,2020-09-26T00:30:00.0000000Z,24.29248043864248,12.11669948314589,0,0.4
24,Daniel Theis,15491663,C,5000,Breaking,BOS,2020-09-26T00:30:00.0000000Z,28.39951174700697,12.571380537293182,0,0.4
25,Duncan Robinson,15491664,SG/SF,4800,Breaking,MIA,2020-09-26T00:30:00.0000000Z,17.839643498934624,10.669241714256259,0,0.4
26,Andre Iguodala,15491701,SF,4800,Breaking,MIA,2020-09-26T00:30:00.0000000Z,14.909944106620408,13.162425541814459,0,0.4
27,Brad Wanamaker,15491702,PG,4200,None,BOS,2020-09-26T00:30:00.0000000Z,18.02177291671318,5.6114771099518554,0,0.4
28,Grant Williams,15491665,SF/PF,4000,None,BOS,2020-09-26T00:30:00.0000000Z,23.670127145292565,4.960082830054586,0,0.4
29,Robert Williams,15491703,C,3900,None,BOS,2020-09-26T00:30:00.0000000Z,24.415571290854608,10.46648402674473,0,0.4
30,Kelly Olynyk,15491666,PF/C,3600,None,MIA,2020-09-26T00:30:00.0000000Z,18.56826412659536,5.059712221420987,0,0.4
31,Enes Kanter,15491704,C,3600,Breaking,BOS,2020-09-26T00:30:00.0000000Z,20.181037363075664,9.121540831004385,0,0.4
32,Kendrick Nunn,15491705,PG/SG,3300,None,MIA,2020-09-26T00:30:00.0000000Z,13.81942985275155,3.175576014889396,0,0.4
33,Andre Iguodala,15491667,SF,3200,Breaking,MIA,2020-09-26T00:30:00.0000000Z,13.446475183117915,5.178668997057841,0,0.4
34,Brad Wanamaker,15491668,PG,2800,None,BOS,2020-09-26T00:30:00.0000000Z,11.884042348281776,5.256835388635892,0,0.4
35,Derrick Jones Jr.,15491706,SF/PF,2700,None,MIA,2020-09-26T00:30:00.0000000Z,13.340437149281545,3.6136103369751638,0,0.4
36,Robert Williams,15491669,C,2600,None,BOS,2020-09-26T00:30:00.0000000Z,12.648122015559936,5.22126424438683,0,0.4
37,Enes Kanter,15491670,C,2400,Breaking,BOS,2020-09-26T00:30:00.0000000Z,10.65861685248401,4.108584804019229,0,0.4
38,Semi Ojeleye,15491707,PF,2400,None,BOS,2020-09-26T00:30:00.0000000Z,9.73673576490782,5.098749916991296,0,0.4
39,Kendrick Nunn,15491671,PG/SG,2200,None,MIA,2020-09-26T00:30:00.0000000Z,8.979113177595137,4.723042028702151,0,0.4
40,Javonte Green,15491708,PG/SG,2100,Breaking,BOS,2020-09-26T00:30:00.0000000Z,12.383397287506241,4.854485847086074,0,0.4
41,Derrick Jones Jr.,15491672,SF/PF,1800,None,MIA,2020-09-26T00:30:00.0000000Z,8.590912844200744,4.756873313854594,0,0.4
42,Chris Silva,15491709,C,1800,None,MIA,2020-09-26T00:30:00.0000000Z,10.424535581044678,2.817414758322195,0,0.4
43,Semi Ojeleye,15491673,PF,1600,None,BOS,2020-09-26T00:30:00.0000000Z,10.938444242525758,4.049203564705314,0,0.4
44,Romeo Langford,15491710,SG/SF,1500,Recent,BOS,2020-09-26T00:30:00.0000000Z,6.4184209666910785,5.140462269512571,0,0.4
45,Tacko Fall,15491711,C,1500,None,BOS,2020-09-26T00:30:00.0000000Z,6.483257045003333,3.442157344494299,0,0.4
46,Carsen Edwards,15491712,SG,1500,None,BOS,2020-09-26T00:30:00.0000000Z,6.358351253878549,2.608046023686972,0,0.4
47,Tremont Waters,15491713,PG,1500,None,BOS,2020-09-26T00:30:00.0000000Z,4.658780101216987,2.8570842387249855,0,0.4
48,Udonis Haslem,15491714,C,1500,None,MIA,2020-09-26T00:30:00.0000000Z,7.496545392018739,2.846062914934428,0,0.4
49,Solomon Hill,15491715,SF/PF,1500,None,MIA,2020-09-26T00:30:00.0000000Z,5.335127320613817,2.6036953966976526,0,0.4
50,Meyers Leonard,15491716,PF/C,1500,None,MIA,2020-09-26T00:30:00.0000000Z,7.092225227070351,4.016314098355748,0,0.4
51,Gabe Vincent,15491717,PG,1500,Recent,MIA,2020-09-26T00:30:00.0000000Z,7.855231215898175,3.496653520316223,0,0.4
52,Kyle Alexander,15491718,C,1500,None,MIA,2020-09-26T00:30:00.0000000Z,10.646471439494317,3.5373920834657877,0,0.4
53,KZ Okpala,15491719,SF,1500,None,MIA,2020-09-26T00:30:00.0000000Z,6.813766568392344,1.9775867088972485,0,0.4
54,Vincent Poirier,15491720,C,1500,None,BOS,2020-09-26T00:30:00.0000000Z,8.550343761258826,2.514598563610827,0,0.4
55,Javonte Green,15491674,PG/SG,1400,Breaking,BOS,2020-09-26T00:30:00.0000000Z,6.302806235656294,3.760672870070785,0,0.4
56,Chris Silva,15491675,C,1200,None,MIA,2020-09-26T00:30:00.0000000Z,3.8402185224304297,2.1365473015671705,0,0.4
57,Romeo Langford,15491676,SG/SF,1000,Recent,BOS,2020-09-26T00:30:00.0000000Z,3.9867188031075607,1.3637075358517943,0,0.4
58,Tacko Fall,15491677,C,1000,None,BOS,2020-09-26T00:30:00.0000000Z,5.379168626711514,2.054427649332833,0,0.4
59,Carsen Edwards,15491678,SG,1000,None,BOS,2020-09-26T00:30:00.0000000Z,3.969817528837356,2.187465224613272,0,0.4
60,Tremont Waters,15491679,PG,1000,None,BOS,2020-09-26T00:30:00.0000000Z,4.999814699178339,2.9974202191498875,0,0.4
61,Udonis Haslem,15491680,C,1000,None,MIA,2020-09-26T00:30:00.0000000Z,6.202455812626577,2.057198870299652,0,0.4
62,Solomon Hill,15491681,SF/PF,1000,None,MIA,2020-09-26T00:30:00.0000000Z,5.743250133964067,0.9238989422967983,0,0.4
63,Meyers Leonard,15491682,PF/C,1000,None,MIA,2020-09-26T00:30:00.0000000Z,5.326578637081305,2.206261629868494,0,0.4
64,Gabe Vincent,15491683,PG,1000,Recent,MIA,2020-09-26T00:30:00.0000000Z,5.273832818671142,2.625657662028455,0,0.4
65,Kyle Alexander,15491684,C,1000,None,MIA,2020-09-26T00:30:00.0000000Z,6.669044147951398,1.8280750986925332,0,0.4
66,KZ Okpala,15491685,SF,1000,None,MIA,2020-09-26T00:30:00.0000000Z,6.2341766050725065,1.7229624902413885,0,0.4
67,Vincent Poirier,15491686,C,1000,None,BOS,2020-09-26T00:30:00.0000000Z,5.153653523971474,2.246457330544426,0,0.4
