,Name,ID,Position,Salary,Status,TeamAbbrev,Time,projections,std,min_exp,max_exp
0,LeBron James,15580981,PG/SF,18600,Recent,LAL,2020-10-10T01:00:00.0000000Z,91.40962355594908,46.703193338419034,0,0.4
1,Anthony Davis,15580982,PF/C,17700,Recent,LAL,2020-10-10T01:00:00.0000000Z,89.18193070543154,28.108530867118077,0,0.4
2,Jimmy Butler,15580983,SG/SF,16200,Recent,MIA,2020-10-10T01:00:00.0000000Z,64.55263824172779,32.3018146783953,0,0.4
3,Bam Adebayo,15580984,C,14700,Recent,MIA,2020-10-10T01:00:00.0000000Z,57.27606790149188,35.40690239530851,0,0.4
4,Tyler Herro,15580985,SG,13500,Breaking,MIA,2020-10-10T01:00:00.0000000Z,69.26318769600175,26.46312750515293,0,0.4
5,LeBron James,15580946,PG/SF,12400,Recent,LAL,2020-10-10T01:00:00.0000000Z,42.7311906356138,27.49026413466006,0,0.4
6,Goran Dragic,15580986,PG,12000,Recent,MIA,2020-10-10T01:00:00.0000000Z,40.4580628339969,11.001669688670132,0,0.4
7,Anthony Davis,15580947,PF/C,11800,Recent,LAL,2020-10-10T01:00:00.0000000Z,81.02709273008846,22.55449275276603,0,0.4
8,Jae Crowder,15580987,PF,11100,None,MIA,2020-10-10T01:00:00.0000000Z,55.008498478311736,28.70294800658271,0,0.4
9,Jimmy Butler,15580948,SG/SF,10800,Recent,MIA,2020-10-10T01:00:00.0000000Z,45.27961596042561,16.35176007652818,0,0.4
10,Duncan Robinson,15580988,SG/SF,10500,None,MIA,2020-10-10T01:00:00.0000000Z,57.82035221820531,24.741994871142616,0,0.4
11,Bam Adebayo,15580949,C,9800,Recent,MIA,2020-10-10T01:00:00.0000000Z,30.605731505558087,17.984926183199622,0,0.4
12,Rajon Rondo,15580989,PG,9300,Breaking,LAL,2020-10-10T01:00:00.0000000Z,48.82787985759585,18.667369166721965,0,0.4
13,Tyler Herro,15580950,SG,9000,Breaking,MIA,2020-10-10T01:00:00.0000000Z,35.2810855977935,17.089528935398494,0,0.4
14,Kentavious Caldwell-Pope,15580990,SG/SF,8400,None,LAL,2020-10-10T01:00:00.0000000Z,42.705507008194814,16.880187311439762,0,0.4
15,Goran Dragic,15580951,PG,8000,Recent,MIA,2020-10-10T01:00:00.0000000Z,24.141990847214267,14.868093822437565,0,0.4
16,Jae Crowder,15580952,PF,7400,None,MIA,2020-10-10T01:00:00.0000000Z,45.76722259560736,13.098302135213803,0,0.4
17,Kyle Kuzma,15580991,SF/PF,7200,Recent,LAL,2020-10-10T01:00:00.0000000Z,40.21393828415484,18.38427229176694,0,0.4
18,Duncan Robinson,15580953,SG/SF,7000,None,MIA,2020-10-10T01:00:00.0000000Z,37.00190124019818,18.72941946246747,0,0.4
19,Danny Green,15580992,SG/SF,6600,Recent,LAL,2020-10-10T01:00:00.0000000Z,42.60723563165353,15.479082955679608,0,0.4
20,Rajon Rondo,15580954,PG,6200,Breaking,LAL,2020-10-10T01:00:00.0000000Z,29.858838698049322,6.391747149081005,0,0.4
21,Kendrick Nunn,15580993,PG/SG,6000,Recent,MIA,2020-10-10T01:00:00.0000000Z,34.95491637753515,13.052679835125213,0,0.4
22,Kentavious Caldwell-Pope,15580955,SG/SF,5600,None,LAL,2020-10-10T01:00:00.0000000Z,17.98610095352822,10.350044348721827,0,0.4
23,Markieff Morris,15580994,PF/C,5400,Recent,LAL,2020-10-10T01:00:00.0000000Z,31.621368884821823,11.731327690717622,0,0.4
24,Alex Caruso,15580995,PG/SG,5100,None,LAL,2020-10-10T01:00:00.0000000Z,24.074011593828693,12.253584586444006,0,0.4
25,Kyle Kuzma,15580956,SF/PF,4800,Recent,LAL,2020-10-10T01:00:00.0000000Z,29.15596840452226,8.302904720217253,0,0.4
26,Dwight Howard,15580996,C,4800,None,LAL,2020-10-10T01:00:00.0000000Z,26.51038295007342,5.667946589179729,0,0.4
27,Kelly Olynyk,15580997,PF/C,4500,None,MIA,2020-10-10T01:00:00.0000000Z,18.82310086596222,7.908822063535436,0,0.4
28,Danny Green,15580957,SG/SF,4400,Recent,LAL,2020-10-10T01:00:00.0000000Z,15.392579702290277,10.052932959767867,0,0.4
29,Kendrick Nunn,15580958,PG/SG,4000,Recent,MIA,2020-10-10T01:00:00.0000000Z,21.014794891539353,4.4445098068675915,0,0.4
30,Markieff Morris,15580959,PF/C,3600,Recent,LAL,2020-10-10T01:00:00.0000000Z,17.30473224622539,6.062470407533144,0,0.4
31,Andre Iguodala,15580998,SF,3600,None,MIA,2020-10-10T01:00:00.0000000Z,14.786268138257695,9.884726906781607,0,0.4
32,Alex Caruso,15580960,PG/SG,3400,None,LAL,2020-10-10T01:00:00.0000000Z,17.191721772198196,9.194241848531329,0,0.4
33,Dwight Howard,15580961,C,3200,None,LAL,2020-10-10T01:00:00.0000000Z,17.923724613620063,6.520051648366251,0,0.4
34,Kelly Olynyk,15580962,PF/C,3000,None,MIA,2020-10-10T01:00:00.0000000Z,11.741873087128807,5.799620856238274,0,0.4
35,Meyers Leonard,15580999,PF/C,2700,Recent,MIA,2020-10-10T01:00:00.0000000Z,14.225974041866756,5.479895844692196,0,0.4
36,Andre Iguodala,15580963,SF,2400,None,MIA,2020-10-10T01:00:00.0000000Z,11.502207681084633,3.3836941500435107,0,0.4
37,Solomon Hill,15581000,SF/PF,2100,None,MIA,2020-10-10T01:00:00.0000000Z,12.683544014011616,3.341467521942447,0,0.4
38,Meyers Leonard,15580964,PF/C,1800,Recent,MIA,2020-10-10T01:00:00.0000000Z,8.971840380491589,3.9046880365802696,0,0.4
39,JaVale McGee,15581001,C,1800,None,LAL,2020-10-10T01:00:00.0000000Z,7.3595809226809825,4.2019698023372865,0,0.4
40,Chris Silva,15581002,C,1500,Recent,MIA,2020-10-10T01:00:00.0000000Z,7.93988895057443,2.344986845294249,0,0.4
41,Udonis Haslem,15581003,C,1500,None,MIA,2020-10-10T01:00:00.0000000Z,8.156636730314766,3.4539094723751083,0,0.4
42,Talen Horton-Tucker,15581004,SG,1500,None,LAL,2020-10-10T01:00:00.0000000Z,11.685732356943603,2.0073894450593603,0,0.4
43,Devontae Cacok,15581005,PF,1500,None,LAL,2020-10-10T01:00:00.0000000Z,8.137482649907703,1.7594176284751597,0,0.4
44,Gabe Vincent,15581006,PG,1500,None,MIA,2020-10-10T01:00:00.0000000Z,8.781797654960389,2.484873052862005,0,0.4
