,display,id,position,salary,news_status,team_abbreviation,start time,projections,std,min_exp,max_exp
18,Ivica Zubac,15329488,C,5000,Recent,LAC,2020-09-11T22:30:00.0000000Z,24.005408950031732,11.605289280383724,0,0.4
19,Jerami Grant,15329490,SF/PF,4900,None,DEN,2020-09-11T22:30:00.0000000Z,29.49555442655129,9.911690434093638,0,0.4
20,Marcus Morris Sr.,15329494,SF/PF,4800,Breaking,LAC,2020-09-11T22:30:00.0000000Z,27.019969898254484,8.383993975344561,0,0.4
21,Paul Millsap,15329498,PF/C,4700,Breaking,DEN,2020-09-11T22:30:00.0000000Z,25.77063907334496,8.192777088686105,0,0.4
22,Gary Harris,15329502,SG,4600,Recent,DEN,2020-09-11T22:30:00.0000000Z,17.909760940883107,11.196750566545834,0,0.4
23,Norman Powell,15329505,SG/SF,4400,Recent,TOR,2020-09-12T01:00:00.0000000Z,13.109851028308523,9.81104234917484,0,0.4
24,Montrezl Harrell,15329510,C,4300,Recent,LAC,2020-09-11T22:30:00.0000000Z,25.884461794655284,7.671255985562172,0,0.4
25,Marc Gasol,15329512,C,4100,None,TOR,2020-09-12T01:00:00.0000000Z,23.650190174369264,8.406020958263282,0,0.4
26,Patrick Beverley,15329514,PG,3800,Recent,LAC,2020-09-11T22:30:00.0000000Z,15.302077960102125,5.457225897208635,0,0.4
27,JaMychal Green,15329517,PF/C,3600,Breaking,LAC,2020-09-11T22:30:00.0000000Z,11.77136163081375,6.392039566992311,0,0.4
28,Monte Morris,15329521,PG,3600,Breaking,DEN,2020-09-11T22:30:00.0000000Z,25.927556841048524,4.695476102627636,0,0.4
29,Landry Shamet,15329526,PG/SF,3500,None,LAC,2020-09-11T22:30:00.0000000Z,16.046770852045327,9.796578230827672,0,0.4
30,Robert Williams,15329524,C,3400,None,BOS,2020-09-12T01:00:00.0000000Z,21.87207602889557,6.065229597361875,0,0.4
31,Torrey Craig,15329531,SG/SF,3400,None,DEN,2020-09-11T22:30:00.0000000Z,12.63373631483731,8.969970264546406,0,0.4
32,Brad Wanamaker,15329536,PG,3300,Breaking,BOS,2020-09-12T01:00:00.0000000Z,13.021311905619187,8.529099952399372,0,0.4
33,Grant Williams,15329539,SF/PF,3200,None,BOS,2020-09-12T01:00:00.0000000Z,17.268218388858752,6.266440909550616,0,0.4
34,Chris Boucher,15329543,PF/C,3200,None,TOR,2020-09-12T01:00:00.0000000Z,16.710927178790186,6.669805724075585,0,0.4
35,Matt Thomas,15329552,SG,3100,None,TOR,2020-09-12T01:00:00.0000000Z,11.425388471648427,7.992776808906311,0,0.4
36,Reggie Jackson,15329547,PG,3100,None,LAC,2020-09-11T22:30:00.0000000Z,17.502786995235216,6.935633219179406,0,0.4
37,Mason Plumlee,15329550,C,3100,None,DEN,2020-09-11T22:30:00.0000000Z,14.957674080996924,6.0113779489605745,0,0.4
38,Malcolm Miller,15329578,SG/SF,3000,None,TOR,2020-09-12T01:00:00.0000000Z,14.918658582161296,7.656305636525684,0,0.4
39,Rondae Hollis-Jefferson,15329583,PF/C,3000,None,TOR,2020-09-12T01:00:00.0000000Z,13.01493595005284,6.350285874328741,0,0.4
40,Paul Watson,15329587,SF,3000,None,TOR,2020-09-12T01:00:00.0000000Z,15.82525251265849,5.863971276708583,0,0.4
41,Stanley Johnson,15329590,SF/PF,3000,None,TOR,2020-09-12T01:00:00.0000000Z,14.751429249390457,4.880914832739507,0,0.4
42,Patrick McCaw,15329594,SG/SF,3000,None,TOR,2020-09-12T01:00:00.0000000Z,14.421072200863039,9.12355868860498,0,0.4
43,Terence Davis,15329599,PG/SG,3000,None,TOR,2020-09-12T01:00:00.0000000Z,8.876930731656756,6.336934082641324,0,0.4
44,Dewan Hernandez,15329603,C,3000,None,TOR,2020-09-12T01:00:00.0000000Z,14.845256693554289,5.351827271966772,0,0.4
45,Oshae Brissett,15329605,PF,3000,None,TOR,2020-09-12T01:00:00.0000000Z,13.852131904502823,6.913868634618417,0,0.4
46,Semi Ojeleye,15329630,PF,3000,None,BOS,2020-09-12T01:00:00.0000000Z,15.030918898373574,3.532103586606836,0,0.4
47,Enes Kanter,15329633,C,3000,None,BOS,2020-09-12T01:00:00.0000000Z,12.937593394364546,4.97209084618572,0,0.4
48,Javonte Green,15329635,PG/SG,3000,None,BOS,2020-09-12T01:00:00.0000000Z,13.489818456427463,5.41186083172248,0,0.4
49,Tacko Fall,15329639,C,3000,None,BOS,2020-09-12T01:00:00.0000000Z,14.872160926200324,6.152025537385929,0,0.4
50,Carsen Edwards,15329641,SG,3000,None,BOS,2020-09-12T01:00:00.0000000Z,18.339292759673786,5.153350998403848,0,0.4
51,Tremont Waters,15329644,PG,3000,Breaking,BOS,2020-09-12T01:00:00.0000000Z,22.69792307860884,5.307999720844857,0,0.4
52,Romeo Langford,15329647,SG/SF,3000,None,BOS,2020-09-12T01:00:00.0000000Z,12.33213277875662,2.973409010906175,0,0.4
53,Vincent Poirier,15329652,C,3000,Breaking,BOS,2020-09-12T01:00:00.0000000Z,14.26732974819269,4.0419798069340205,0,0.4
54,Joakim Noah,15329555,C,3000,None,LAC,2020-09-11T22:30:00.0000000Z,22.804162160129604,6.889213580376206,0,0.4
55,Patrick Patterson,15329557,PF,3000,None,LAC,2020-09-11T22:30:00.0000000Z,16.138342142711444,6.257870241529398,0,0.4
56,Rodney McGruder,15329560,SG/SF,3000,None,LAC,2020-09-11T22:30:00.0000000Z,14.683561011661773,6.031012653019192,0,0.4
57,Johnathan Motley,15329565,C,3000,None,LAC,2020-09-11T22:30:00.0000000Z,14.514236623459555,9.991363487883058,0,0.4
58,Terance Mann,15329567,PG/SG,3000,None,LAC,2020-09-11T22:30:00.0000000Z,10.178661602724867,6.67682185143555,0,0.4
59,Mfiondu Kabengele,15329571,PF/C,3000,None,LAC,2020-09-11T22:30:00.0000000Z,16.687297174072146,5.555842822520599,0,0.4
60,Amir Coffey,15329575,SF,3000,None,LAC,2020-09-11T22:30:00.0000000Z,12.185480068902153,6.050413614402842,0,0.4
61,Troy Daniels,15329608,SG,3000,None,DEN,2020-09-11T22:30:00.0000000Z,12.922446833952051,5.434501798285831,0,0.4
62,Noah Vonleh,15329611,C,3000,None,DEN,2020-09-11T22:30:00.0000000Z,15.046887698515736,7.570362151973581,0,0.4
63,Keita Bates-Diop,15329613,SF/PF,3000,None,DEN,2020-09-11T22:30:00.0000000Z,6.404986595272892,6.1482648098167445,0,0.4
64,PJ Dozier,15329617,PG/SG,3000,None,DEN,2020-09-11T22:30:00.0000000Z,13.788409379301989,6.993190725993981,0,0.4
65,Tyler Cook,15329621,C,3000,None,DEN,2020-09-11T22:30:00.0000000Z,24.196602124981183,5.74583729415081,0,0.4
66,Vlatko Cancar,15329623,SF,3000,None,DEN,2020-09-11T22:30:00.0000000Z,13.767489111944773,6.945855692556269,0,0.4
67,Bol Bol,15329626,PF/C,3000,None,DEN,2020-09-11T22:30:00.0000000Z,15.39054515883157,4.635687788920153,0,0.4
