,display,id,position,salary,news_status,team_abbreviation,start time,projections,std,min_exp,max_exp
0,Kawhi Leonard,15329425,SF,10400,Recent,LAC,2020-09-11T22:30:00.0000000Z,62.21193704650634,25.28146118090718,0,0.4
1,Nikola Jokic,15329428,C,10000,Recent,DEN,2020-09-11T22:30:00.0000000Z,47.4463710013226,27.36551482968565,0,0.4
2,Jayson Tatum,15329430,SF/PF,9500,Recent,BOS,2020-09-12T01:00:00.0000000Z,35.05268075589878,21.378598666326305,0,0.4
3,Kyle Lowry,15329434,PG,8600,Recent,TOR,2020-09-12T01:00:00.0000000Z,49.759524248867294,24.13713279451113,0,0.4
4,Jamal Murray,15329437,PG/SG,8500,Recent,DEN,2020-09-11T22:30:00.0000000Z,38.53977099696353,14.856014353667371,0,0.4
5,Paul George,15329441,SG,8400,Recent,LAC,2020-09-11T22:30:00.0000000Z,51.37864359667664,12.30207030044644,0,0.4
6,Jaylen Brown,15329444,SG/SF,8000,Recent,BOS,2020-09-12T01:00:00.0000000Z,29.14412576350051,2.6655101377376447,0,0.4
7,Fred VanVleet,15329449,PG/SG,7900,Recent,TOR,2020-09-12T01:00:00.0000000Z,33.53239126130851,19.298680527544466,0,0.4
8,Pascal Siakam,15329453,PF,7800,Recent,TOR,2020-09-12T01:00:00.0000000Z,40.988218881197504,18.77585578445327,0,0.4
9,Kemba Walker,15329456,PG,7700,Recent,BOS,2020-09-12T01:00:00.0000000Z,38.998507530375406,16.456905251218018,0,0.4
10,Marcus Smart,15329459,PG/SG,6800,Recent,BOS,2020-09-12T01:00:00.0000000Z,28.76929248948176,8.72024621117343,0,0.4
11,Gordon Hayward,15329463,SF/PF,6700,Breaking,BOS,2020-09-12T01:00:00.0000000Z,40.48207411293157,21.69208618038562,0,0.4
12,Will Barton,15329467,PG,6600,None,DEN,2020-09-11T22:30:00.0000000Z,29.657469456184586,13.213336084771715,0,0.4
13,OG Anunoby,15329470,SF/PF,5900,None,TOR,2020-09-12T01:00:00.0000000Z,20.017714731133985,10.693993190080306,0,0.4
14,Lou Williams,15329474,PG/SG,5800,None,LAC,2020-09-11T22:30:00.0000000Z,22.574394506550902,8.16278353725224,0,0.4
15,Daniel Theis,15329478,PF/C,5600,None,BOS,2020-09-12T01:00:00.0000000Z,30.242645154698295,16.751304152438074,0,0.4
16,Serge Ibaka,15329482,C,5400,Recent,TOR,2020-09-12T01:00:00.0000000Z,20.049041271655366,14.057387912992606,0,0.4
17,Michael Porter Jr.,15329484,SF/PF,5200,Recent,DEN,2020-09-11T22:30:00.0000000Z,21.146660150703784,11.591419248657562,0,0.4
